AreaId,Area,dateObs,TempAvg,TempMin,hhmiTempMin,TempMax,hhmiTempMax,hourRainfall,RainfallAmount,HumidAvg,SnowloadMax,hhmiSnowloadMax
108,서울,2020-10-24,8.7,3.2,705,14,1538,,,47.6,,
108,서울,2020-10-25,11.8,5.4,708,18.2,1345,,,62.5,,
108,서울,2020-10-26,12.9,8,618,19,1354,,,71.6,,
108,서울,2020-10-27,14,9,653,19.4,1431,,,74.1,,
108,서울,2020-10-28,13.8,8.6,2359,18.2,1442,,,52.1,,
108,서울,2020-10-29,10.8,5.5,703,16.1,1328,,,40.3,,
108,서울,2020-10-30,11.9,5.8,731,19.6,1512,,,42.9,,
108,서울,2020-10-31,13.6,8.5,649,18.2,1431,,,60.3,,
108,서울,2020-11-01,13.7,11.6,2359,15,1,7.17,13.6,84.3,,
108,서울,2020-11-02,10.8,7.9,701,15.6,1432,2.33,1.7,58.3,,
108,서울,2020-11-03,5.1,2.7,623,8.6,1,0.83,0.5,47.5,,
108,서울,2020-11-04,4.9,0.2,714,10.8,1602,,,43.9,,
108,서울,2020-11-05,9.6,3.4,657,15.9,1541,,,61.5,,
108,서울,2020-11-06,13.5,9.9,657,17.2,1445,,,63.3,,
108,서울,2020-11-07,14.6,12.2,2312,18.1,1433,0.42,0.1,68.8,,
108,서울,2020-11-08,8.5,3.1,2359,12.4,26,,,43.8,,
108,서울,2020-11-09,5.5,0.7,708,8.9,1258,,,40.9,,
108,서울,2020-11-10,7.7,3.5,649,12.9,1505,,,56.1,,
108,서울,2020-11-11,9.3,3.5,718,16.5,1448,,,53.5,,
108,서울,2020-11-12,10.4,4.6,704,17.7,1331,,,56.9,,
108,서울,2020-11-13,12.2,8.5,613,17.6,1444,,,71.5,,
108,서울,2020-11-14,12.5,6.8,725,19.3,1459,,,66.9,,
108,서울,2020-11-15,11.1,8.2,709,14.9,1519,,,75,,
108,서울,2020-11-16,12.4,7.5,733,18.3,1438,,,70.1,,
108,서울,2020-11-17,15.9,11.7,429,20,1413,2.08,0.1,67.5,,
108,서울,2020-11-18,16.6,14.8,235,18.7,1439,10.83,12.2,91.4,,
108,서울,2020-11-19,13.6,6.9,2343,19.1,255,14.17,86.9,90.5,,
108,서울,2020-11-20,2.8,0.3,2356,7,1,4.5,0,74.3,,
108,서울,2020-11-21,6.5,-0.3,252,12.8,1428,1.67,0.2,67.9,,
108,서울,2020-11-22,5.6,1.5,2349,9.1,1,8.83,4.8,80.5,,
108,서울,2020-11-23,1.7,-1.5,738,5.9,1546,,,61.4,,
108,서울,2020-11-24,2.9,0.2,113,6.4,1627,,,54.5,,
108,서울,2020-11-25,4.6,0,732,9.5,1349,,,64.1,,
108,서울,2020-11-26,5.6,1.9,802,10.9,1435,,,66.5,,
108,서울,2020-11-27,4.1,0.6,2348,7.7,1310,0.17,0,61.6,,
108,서울,2020-11-28,-0.1,-2.3,734,2.8,1445,,,50,,
108,서울,2020-11-29,-0.6,-3.6,613,2.6,1356,,,59.6,,
108,서울,2020-11-30,-0.2,-3.6,609,4.3,1454,,,57.8,,
108,서울,2020-12-01,1.1,-3.6,729,6.7,1358,,,44.5,,
108,서울,2020-12-02,2.4,0.5,2337,6.1,1431,,,41.4,,
108,서울,2020-12-03,0.7,-2.3,2350,4.2,1359,,,47.1,,
108,서울,2020-12-04,-0.6,-4.6,701,4.4,1518,,,53.8,,
108,서울,2020-12-05,2.1,-2.2,724,6.6,1207,,,63.1,,
108,서울,2020-12-06,4.5,1.2,750,9.1,1349,,,66.9,,
108,서울,2020-12-07,3.4,-0.7,2354,6.3,1253,,,57.5,,
108,서울,2020-12-08,-0.5,-3.5,540,4.1,1408,,,50,,
108,서울,2020-12-09,1.5,-4.1,654,6.2,1346,,,55.1,,
